
	F.2.2.M Offene abdominale OP bei Aortenaneurysma nicht rupturiert, Mortalität // OP abdominale à ciel ouvert en cas d’anévrisme de l’aorte sans rupture, mortalité // OP addominale a cielo aperto in caso di aneurisma aortico senza lacerazione, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	8	2	0	1	0	
	2008	10	1	0	2	0	
	2008	11	1	0	14	0	
	2008	12	1	0	23	0	
	2008	12	2	0	2	0	
	2008	13	1	1	50	0.02	
	2008	13	2	2	9	0.2222222	
	2008	14	1	2	65	0.03076923	
	2008	14	2	0	7	0	
	2008	15	1	2	87	0.02298851	
	2008	15	2	0	18	0	
	2008	16	1	3	53	0.05660377	
	2008	16	2	1	17	0.05882353	
	2008	17	1	1	30	0.03333333	
	2008	17	2	1	14	0.07142857	
	2008	18	1	0	8	0	
	2008	18	2	1	4	0.25	
	2008	19	1	0	1	0	
	2009	3	1	0	1	0	
	2009	9	1	0	3	0	
	2009	10	1	0	8	0	
	2009	10	2	0	2	0	
	2009	11	1	0	8	0	
	2009	11	2	0	2	0	
	2009	12	1	0	31	0	
	2009	12	2	0	1	0	
	2009	13	1	1	59	0.01694915	
	2009	13	2	1	9	0.1111111	
	2009	14	1	2	77	0.02597403	
	2009	14	2	1	7	0.1428571	
	2009	15	1	2	62	0.03225806	
	2009	15	2	2	25	0.08	
	2009	16	1	2	64	0.03125	
	2009	16	2	1	9	0.1111111	
	2009	17	1	3	18	0.1666667	
	2009	17	2	2	12	0.1666667	
	2009	18	1	0	14	0	
	2009	18	2	0	2	0	
	2009	19	1	0	1	0	
	2010	5	1	0	1	0	
	2010	7	2	0	1	0	
	2010	8	1	1	2	0.5	
	2010	8	2	0	1	0	
	2010	9	1	1	3	0.3333333	
	2010	10	1	1	5	0.2	
	2010	10	2	1	1	1	
	2010	11	1	0	13	0	
	2010	11	2	0	1	0	
	2010	12	1	0	28	0	
	2010	12	2	0	4	0	
	2010	13	1	1	65	0.01538462	
	2010	13	2	1	10	0.1	
	2010	14	1	3	89	0.03370787	
	2010	14	2	0	7	0	
	2010	15	1	2	87	0.02298851	
	2010	15	2	1	19	0.05263158	
	2010	16	1	7	72	0.09722222	
	2010	16	2	1	12	0.08333333	
	2010	17	1	7	24	0.2916667	
	2010	17	2	0	11	0	
	2010	18	1	1	3	0.3333333	
	2010	18	2	0	1	0	
	2010	19	2	0	1	0	
	2011	7	1	0	1	0	
	2011	10	1	0	3	0	
	2011	11	1	0	14	0	
	2011	12	1	0	34	0	
	2011	12	2	0	1	0	
	2011	13	1	2	55	0.03636364	
	2011	13	2	0	5	0	
	2011	14	1	0	78	0	
	2011	14	2	1	9	0.1111111	
	2011	15	1	3	72	0.04166667	
	2011	15	2	0	4	0	
	2011	16	1	3	78	0.03846154	
	2011	16	2	0	15	0	
	2011	17	1	6	39	0.1538462	
	2011	17	2	0	7	0	
	2011	18	1	1	8	0.125	
	2011	18	2	0	2	0	
	2011	19	2	0	1	0	
	2012	9	1	0	1	0	
	2012	10	1	0	3	0	
	2012	10	2	0	1	0	
	2012	11	1	0	11	0	
	2012	11	2	0	1	0	
	2012	12	1	1	32	0.03125	
	2012	12	2	0	2	0	
	2012	13	1	0	36	0	
	2012	13	2	0	5	0	
	2012	14	1	2	65	0.03076923	
	2012	14	2	1	13	0.07692308	
	2012	15	1	2	59	0.03389831	
	2012	15	2	0	11	0	
	2012	16	1	3	65	0.04615385	
	2012	16	2	1	7	0.1428571	
	2012	17	1	1	27	0.03703704	
	2012	17	2	0	10	0	
	2012	18	1	1	8	0.125	
	2012	18	2	0	4	0	
	2012	19	1	0	2	0	
	2012	19	2	0	1	0	
	2013	8	1	0	1	0	
	2013	10	1	0	1	0	
	2013	11	1	0	7	0	
	2013	11	2	0	1	0	
	2013	12	1	0	20	0	
	2013	12	2	0	1	0	
	2013	13	1	0	41	0	
	2013	13	2	1	6	0.1666667	
	2013	14	1	0	77	0	
	2013	14	2	2	7	0.2857143	
	2013	15	1	4	55	0.07272727	
	2013	15	2	1	10	0.1	
	2013	16	1	3	58	0.05172414	
	2013	16	2	0	10	0	
	2013	17	1	2	28	0.07142857	
	2013	17	2	1	9	0.1111111	
	2013	18	1	0	6	0	
	2013	19	1	1	2	0.5	
	2013	19	2	0	1	0	

